Ethnicity,Gender,Derived Residency,College,Headcounts,Academic_Yr,('Admitted')
Asian,Female,Out of State Domestic,Clg of Environmental Design,4,1997-98,(Admitted)
Asian,Female,Out of State Domestic,Clg of Environmental Design,9,1998-99,(Admitted)
Asian,Female,Out of State Domestic,Clg of Environmental Design,6,1999-00,(Admitted)
Asian,Female,Out of State Domestic,Clg of Environmental Design,10,2000-01,(Admitted)
Asian,Female,Out of State Domestic,Clg of Environmental Design,7,2001-02,(Admitted)
Asian,Female,Out of State Domestic,Clg of Environmental Design,9,2002-03,(Admitted)
Asian,Female,Out of State Domestic,Clg of Environmental Design,9,2003-04,(Admitted)
Asian,Female,Out of State Domestic,Clg of Environmental Design,8,2004-05,(Admitted)
Asian,Female,Out of State Domestic,Clg of Environmental Design,10,2005-06,(Admitted)
Asian,Female,Out of State Domestic,Clg of Environmental Design,10,2006-07,(Admitted)
Asian,Female,Out of State Domestic,Clg of Environmental Design,12,2007-08,(Admitted)
Asian,Female,Out of State Domestic,Clg of Environmental Design,10,2008-09,(Admitted)
Asian,Female,Out of State Domestic,Clg of Environmental Design,6,2009-10,(Admitted)
Asian,Female,Out of State Domestic,Clg of Environmental Design,7,2010-11,(Admitted)
Asian,Female,Out of State Domestic,Clg of Environmental Design,12,2011-12,(Admitted)
Asian,Female,Out of State Domestic,Clg of Environmental Design,9,2012-13,(Admitted)
Asian,Female,Out of State Domestic,Clg of Environmental Design,2,2013-14,(Admitted)
Asian,Female,Out of State Domestic,Clg of Environmental Design,14,2014-15,(Admitted)
Asian,Female,Out of State Domestic,Clg of Environmental Design,15,2015-16,(Admitted)
Asian,Female,Out of State Domestic,Clg of Environmental Design,17,2016-17,(Admitted)
Asian,Female,Out of State Domestic,Clg of Environmental Design,0,2017-18,(Admitted)
Asian,Female,Out of State Domestic,Clg of Letters & Science,157,1996-97,(Admitted)
Asian,Female,Out of State Domestic,Clg of Letters & Science,171,1997-98,(Admitted)
Asian,Female,Out of State Domestic,Clg of Letters & Science,204,1998-99,(Admitted)
Asian,Female,Out of State Domestic,Clg of Letters & Science,238,1999-00,(Admitted)
Asian,Female,Out of State Domestic,Clg of Letters & Science,248,2000-01,(Admitted)
Asian,Female,Out of State Domestic,Clg of Letters & Science,218,2001-02,(Admitted)
Asian,Female,Out of State Domestic,Clg of Letters & Science,181,2002-03,(Admitted)
Asian,Female,Out of State Domestic,Clg of Letters & Science,174,2003-04,(Admitted)
Asian,Female,Out of State Domestic,Clg of Letters & Science,199,2004-05,(Admitted)
Asian,Female,Out of State Domestic,Clg of Letters & Science,213,2005-06,(Admitted)
Asian,Female,Out of State Domestic,Clg of Letters & Science,210,2006-07,(Admitted)
Asian,Female,Out of State Domestic,Clg of Letters & Science,208,2007-08,(Admitted)
Asian,Female,Out of State Domestic,Clg of Letters & Science,203,2008-09,(Admitted)
Asian,Female,Out of State Domestic,Clg of Letters & Science,166,2009-10,(Admitted)
Asian,Female,Out of State Domestic,Clg of Letters & Science,325,2010-11,(Admitted)
Asian,Female,Out of State Domestic,Clg of Letters & Science,516,2011-12,(Admitted)
Asian,Female,Out of State Domestic,Clg of Letters & Science,438,2012-13,(Admitted)
Asian,Female,Out of State Domestic,Clg of Letters & Science,551,2013-14,(Admitted)
Asian,Female,Out of State Domestic,Clg of Letters & Science,547,2014-15,(Admitted)
Asian,Female,Out of State Domestic,Clg of Letters & Science,554,2015-16,(Admitted)
Asian,Female,Out of State Domestic,Clg of Letters & Science,680,2016-17,(Admitted)
Asian,Female,Out of State Domestic,Clg of Letters & Science,0,2017-18,(Admitted)
Asian,Female,Out of State Domestic,Clg of Natural Resources,4,1996-97,(Admitted)
Asian,Female,Out of State Domestic,Clg of Natural Resources,5,1997-98,(Admitted)
Asian,Female,Out of State Domestic,Clg of Natural Resources,1,1998-99,(Admitted)
Asian,Female,Out of State Domestic,Clg of Natural Resources,12,1999-00,(Admitted)
Asian,Female,Out of State Domestic,Clg of Natural Resources,10,2000-01,(Admitted)
Asian,Female,Out of State Domestic,Clg of Natural Resources,6,2001-02,(Admitted)
Asian,Female,Out of State Domestic,Clg of Natural Resources,7,2002-03,(Admitted)
Asian,Female,Out of State Domestic,Clg of Natural Resources,12,2003-04,(Admitted)
Asian,Female,Out of State Domestic,Clg of Natural Resources,20,2004-05,(Admitted)
Asian,Female,Out of State Domestic,Clg of Natural Resources,9,2005-06,(Admitted)
Asian,Female,Out of State Domestic,Clg of Natural Resources,4,2006-07,(Admitted)
Asian,Female,Out of State Domestic,Clg of Natural Resources,13,2007-08,(Admitted)
Asian,Female,Out of State Domestic,Clg of Natural Resources,22,2008-09,(Admitted)
Asian,Female,Out of State Domestic,Clg of Natural Resources,8,2009-10,(Admitted)
Asian,Female,Out of State Domestic,Clg of Natural Resources,27,2010-11,(Admitted)
Asian,Female,Out of State Domestic,Clg of Natural Resources,41,2011-12,(Admitted)
Asian,Female,Out of State Domestic,Clg of Natural Resources,30,2012-13,(Admitted)
Asian,Female,Out of State Domestic,Clg of Natural Resources,38,2013-14,(Admitted)
Asian,Female,Out of State Domestic,Clg of Natural Resources,37,2014-15,(Admitted)
Asian,Female,Out of State Domestic,Clg of Natural Resources,40,2015-16,(Admitted)
Asian,Female,Out of State Domestic,Clg of Natural Resources,37,2016-17,(Admitted)
Asian,Female,Out of State Domestic,Clg of Natural Resources,0,2017-18,(Admitted)
Asian,Male,CA Resident,Clg of Chemistry,102,1996-97,(Admitted)
Asian,Male,CA Resident,Clg of Chemistry,63,1997-98,(Admitted)
Asian,Male,CA Resident,Clg of Chemistry,60,1998-99,(Admitted)
Asian,Male,CA Resident,Clg of Chemistry,57,1999-00,(Admitted)
Asian,Male,CA Resident,Clg of Chemistry,45,2000-01,(Admitted)
Asian,Male,CA Resident,Clg of Chemistry,47,2001-02,(Admitted)
Asian,Male,CA Resident,Clg of Chemistry,38,2002-03,(Admitted)
Asian,Male,CA Resident,Clg of Chemistry,48,2003-04,(Admitted)
Asian,Male,CA Resident,Clg of Chemistry,78,2004-05,(Admitted)
Asian,Male,CA Resident,Clg of Chemistry,91,2005-06,(Admitted)
Asian,Male,CA Resident,Clg of Chemistry,113,2006-07,(Admitted)
Asian,Male,CA Resident,Clg of Chemistry,111,2007-08,(Admitted)
Asian,Male,CA Resident,Clg of Chemistry,123,2008-09,(Admitted)
Asian,Male,CA Resident,Clg of Chemistry,137,2009-10,(Admitted)
Asian,Male,CA Resident,Clg of Chemistry,109,2010-11,(Admitted)
Asian,Male,CA Resident,Clg of Chemistry,105,2011-12,(Admitted)
Asian,Male,CA Resident,Clg of Chemistry,95,2012-13,(Admitted)
Asian,Male,CA Resident,Clg of Chemistry,91,2013-14,(Admitted)
Asian,Male,CA Resident,Clg of Chemistry,88,2014-15,(Admitted)
Asian,Male,CA Resident,Clg of Chemistry,93,2015-16,(Admitted)
Asian,Male,CA Resident,Clg of Chemistry,70,2016-17,(Admitted)
Asian,Male,CA Resident,Clg of Chemistry,0,2017-18,(Admitted)
Asian,Male,CA Resident,Clg of Engineering,364,1996-97,(Admitted)
Asian,Male,CA Resident,Clg of Engineering,374,1997-98,(Admitted)
Asian,Male,CA Resident,Clg of Engineering,332,1998-99,(Admitted)
Asian,Male,CA Resident,Clg of Engineering,388,1999-00,(Admitted)
Asian,Male,CA Resident,Clg of Engineering,319,2000-01,(Admitted)
Asian,Male,CA Resident,Clg of Engineering,399,2001-02,(Admitted)
Asian,Male,CA Resident,Clg of Engineering,392,2002-03,(Admitted)
Asian,Male,CA Resident,Clg of Engineering,404,2003-04,(Admitted)
Asian,Male,CA Resident,Clg of Engineering,403,2004-05,(Admitted)
Asian,Male,CA Resident,Clg of Engineering,463,2005-06,(Admitted)
Asian,Male,CA Resident,Clg of Engineering,496,2006-07,(Admitted)
Asian,Male,CA Resident,Clg of Engineering,467,2007-08,(Admitted)
Asian,Male,CA Resident,Clg of Engineering,455,2008-09,(Admitted)
Asian,Male,CA Resident,Clg of Engineering,457,2009-10,(Admitted)
Asian,Male,CA Resident,Clg of Engineering,402,2010-11,(Admitted)
Asian,Male,CA Resident,Clg of Engineering,414,2011-12,(Admitted)
Asian,Male,CA Resident,Clg of Engineering,417,2012-13,(Admitted)
Asian,Male,CA Resident,Clg of Engineering,408,2013-14,(Admitted)
Asian,Male,CA Resident,Clg of Engineering,344,2014-15,(Admitted)
Asian,Male,CA Resident,Clg of Engineering,352,2015-16,(Admitted)
Asian,Male,CA Resident,Clg of Engineering,344,2016-17,(Admitted)
Asian,Male,CA Resident,Clg of Engineering,0,2017-18,(Admitted)
Asian,Male,CA Resident,Clg of Environmental Design,38,1996-97,(Admitted)
Asian,Male,CA Resident,Clg of Environmental Design,27,1997-98,(Admitted)
Asian,Male,CA Resident,Clg of Environmental Design,31,1998-99,(Admitted)
Asian,Male,CA Resident,Clg of Environmental Design,35,1999-00,(Admitted)
Asian,Male,CA Resident,Clg of Environmental Design,27,2000-01,(Admitted)
Asian,Male,CA Resident,Clg of Environmental Design,24,2001-02,(Admitted)
Asian,Male,CA Resident,Clg of Environmental Design,29,2002-03,(Admitted)
Asian,Male,CA Resident,Clg of Environmental Design,28,2003-04,(Admitted)
Asian,Male,CA Resident,Clg of Environmental Design,36,2004-05,(Admitted)
Asian,Male,CA Resident,Clg of Environmental Design,29,2005-06,(Admitted)
Asian,Male,CA Resident,Clg of Environmental Design,26,2006-07,(Admitted)
Asian,Male,CA Resident,Clg of Environmental Design,37,2007-08,(Admitted)
Asian,Male,CA Resident,Clg of Environmental Design,30,2008-09,(Admitted)
Asian,Male,CA Resident,Clg of Environmental Design,20,2009-10,(Admitted)
Asian,Male,CA Resident,Clg of Environmental Design,18,2010-11,(Admitted)
Asian,Male,CA Resident,Clg of Environmental Design,22,2011-12,(Admitted)
Asian,Male,CA Resident,Clg of Environmental Design,15,2012-13,(Admitted)
Asian,Male,CA Resident,Clg of Environmental Design,10,2013-14,(Admitted)
Asian,Male,CA Resident,Clg of Environmental Design,14,2014-15,(Admitted)
Asian,Male,CA Resident,Clg of Environmental Design,15,2015-16,(Admitted)
Asian,Male,CA Resident,Clg of Environmental Design,18,2016-17,(Admitted)
Asian,Male,CA Resident,Clg of Environmental Design,0,2017-18,(Admitted)
Asian,Male,CA Resident,Clg of Letters & Science,1156,1996-97,(Admitted)
Asian,Male,CA Resident,Clg of Letters & Science,1067,1997-98,(Admitted)
Asian,Male,CA Resident,Clg of Letters & Science,1034,1998-99,(Admitted)
Asian,Male,CA Resident,Clg of Letters & Science,1083,1999-00,(Admitted)
Asian,Male,CA Resident,Clg of Letters & Science,1119,2000-01,(Admitted)
Asian,Male,CA Resident,Clg of Letters & Science,1038,2001-02,(Admitted)
Asian,Male,CA Resident,Clg of Letters & Science,1074,2002-03,(Admitted)
Asian,Male,CA Resident,Clg of Letters & Science,1027,2003-04,(Admitted)
Asian,Male,CA Resident,Clg of Letters & Science,1071,2004-05,(Admitted)
Asian,Male,CA Resident,Clg of Letters & Science,1148,2005-06,(Admitted)
Asian,Male,CA Resident,Clg of Letters & Science,1203,2006-07,(Admitted)
Asian,Male,CA Resident,Clg of Letters & Science,1265,2007-08,(Admitted)
Asian,Male,CA Resident,Clg of Letters & Science,1124,2008-09,(Admitted)
Asian,Male,CA Resident,Clg of Letters & Science,1267,2009-10,(Admitted)
Asian,Male,CA Resident,Clg of Letters & Science,1039,2010-11,(Admitted)
Asian,Male,CA Resident,Clg of Letters & Science,1168,2011-12,(Admitted)
Asian,Male,CA Resident,Clg of Letters & Science,1287,2012-13,(Admitted)
Asian,Male,CA Resident,Clg of Letters & Science,1201,2013-14,(Admitted)
Asian,Male,CA Resident,Clg of Letters & Science,1104,2014-15,(Admitted)
Asian,Male,CA Resident,Clg of Letters & Science,1186,2015-16,(Admitted)
Asian,Male,CA Resident,Clg of Letters & Science,1280,2016-17,(Admitted)
Asian,Male,CA Resident,Clg of Letters & Science,0,2017-18,(Admitted)
Asian,Male,CA Resident,Clg of Natural Resources,40,1996-97,(Admitted)
Asian,Male,CA Resident,Clg of Natural Resources,48,1997-98,(Admitted)
Asian,Male,CA Resident,Clg of Natural Resources,41,1998-99,(Admitted)
Asian,Male,CA Resident,Clg of Natural Resources,33,1999-00,(Admitted)
Asian,Male,CA Resident,Clg of Natural Resources,55,2000-01,(Admitted)
Asian,Male,CA Resident,Clg of Natural Resources,50,2001-02,(Admitted)
Asian,Male,CA Resident,Clg of Natural Resources,50,2002-03,(Admitted)
Asian,Male,CA Resident,Clg of Natural Resources,54,2003-04,(Admitted)
Asian,Male,CA Resident,Clg of Natural Resources,89,2004-05,(Admitted)
Asian,Male,CA Resident,Clg of Natural Resources,75,2005-06,(Admitted)
Asian,Male,CA Resident,Clg of Natural Resources,81,2006-07,(Admitted)
Asian,Male,CA Resident,Clg of Natural Resources,109,2007-08,(Admitted)
Asian,Male,CA Resident,Clg of Natural Resources,87,2008-09,(Admitted)
Asian,Male,CA Resident,Clg of Natural Resources,75,2009-10,(Admitted)
Asian,Male,CA Resident,Clg of Natural Resources,74,2010-11,(Admitted)
Asian,Male,CA Resident,Clg of Natural Resources,102,2011-12,(Admitted)
Asian,Male,CA Resident,Clg of Natural Resources,74,2012-13,(Admitted)
Asian,Male,CA Resident,Clg of Natural Resources,94,2013-14,(Admitted)
Asian,Male,CA Resident,Clg of Natural Resources,54,2014-15,(Admitted)
Asian,Male,CA Resident,Clg of Natural Resources,66,2015-16,(Admitted)
Asian,Male,CA Resident,Clg of Natural Resources,83,2016-17,(Admitted)
Asian,Male,CA Resident,Clg of Natural Resources,0,2017-18,(Admitted)
Asian,Male,Out of State Domestic,Clg of Chemistry,14,1996-97,(Admitted)
Asian,Male,Out of State Domestic,Clg of Chemistry,22,1997-98,(Admitted)
Asian,Male,Out of State Domestic,Clg of Chemistry,19,1998-99,(Admitted)
Asian,Male,Out of State Domestic,Clg of Chemistry,19,1999-00,(Admitted)
Asian,Male,Out of State Domestic,Clg of Chemistry,15,2000-01,(Admitted)
Asian,Male,Out of State Domestic,Clg of Chemistry,7,2001-02,(Admitted)
Asian,Male,Out of State Domestic,Clg of Chemistry,12,2002-03,(Admitted)
Asian,Male,Out of State Domestic,Clg of Chemistry,16,2003-04,(Admitted)
Asian,Male,Out of State Domestic,Clg of Chemistry,21,2004-05,(Admitted)
Asian,Male,Out of State Domestic,Clg of Chemistry,15,2005-06,(Admitted)
Asian,Male,Out of State Domestic,Clg of Chemistry,17,2006-07,(Admitted)
Asian,Male,Out of State Domestic,Clg of Chemistry,16,2007-08,(Admitted)
Asian,Male,Out of State Domestic,Clg of Chemistry,12,2008-09,(Admitted)
Asian,Male,Out of State Domestic,Clg of Chemistry,25,2009-10,(Admitted)
Asian,Male,Out of State Domestic,Clg of Chemistry,47,2010-11,(Admitted)
Asian,Male,Out of State Domestic,Clg of Chemistry,64,2011-12,(Admitted)
Asian,Male,Out of State Domestic,Clg of Chemistry,53,2012-13,(Admitted)
Asian,Male,Out of State Domestic,Clg of Chemistry,71,2013-14,(Admitted)
Asian,Male,Out of State Domestic,Clg of Chemistry,56,2014-15,(Admitted)
Asian,Male,Out of State Domestic,Clg of Chemistry,57,2015-16,(Admitted)
Asian,Male,Out of State Domestic,Clg of Chemistry,89,2016-17,(Admitted)
Asian,Male,Out of State Domestic,Clg of Chemistry,0,2017-18,(Admitted)
Asian,Male,Out of State Domestic,Clg of Engineering,70,1996-97,(Admitted)
Asian,Male,Out of State Domestic,Clg of Engineering,92,1997-98,(Admitted)
Asian,Male,Out of State Domestic,Clg of Engineering,98,1998-99,(Admitted)
Asian,Male,Out of State Domestic,Clg of Engineering,56,1999-00,(Admitted)
Asian,Male,Out of State Domestic,Clg of Engineering,69,2000-01,(Admitted)
Asian,Male,Out of State Domestic,Clg of Engineering,61,2001-02,(Admitted)
Asian,Male,Out of State Domestic,Clg of Engineering,52,2002-03,(Admitted)
Asian,Male,Out of State Domestic,Clg of Engineering,65,2003-04,(Admitted)
Asian,Male,Out of State Domestic,Clg of Engineering,55,2004-05,(Admitted)
Asian,Male,Out of State Domestic,Clg of Engineering,54,2005-06,(Admitted)
Asian,Male,Out of State Domestic,Clg of Engineering,52,2006-07,(Admitted)
Asian,Male,Out of State Domestic,Clg of Engineering,65,2007-08,(Admitted)
Asian,Male,Out of State Domestic,Clg of Engineering,58,2008-09,(Admitted)
Asian,Male,Out of State Domestic,Clg of Engineering,88,2009-10,(Admitted)
Asian,Male,Out of State Domestic,Clg of Engineering,191,2010-11,(Admitted)
Asian,Male,Out of State Domestic,Clg of Engineering,261,2011-12,(Admitted)
Asian,Male,Out of State Domestic,Clg of Engineering,198,2012-13,(Admitted)
Asian,Male,Out of State Domestic,Clg of Engineering,214,2013-14,(Admitted)
Asian,Male,Out of State Domestic,Clg of Engineering,207,2014-15,(Admitted)
Asian,Male,Out of State Domestic,Clg of Engineering,213,2015-16,(Admitted)
Asian,Male,Out of State Domestic,Clg of Engineering,161,2016-17,(Admitted)
Asian,Male,Out of State Domestic,Clg of Engineering,0,2017-18,(Admitted)
Asian,Male,Out of State Domestic,Clg of Environmental Design,5,1996-97,(Admitted)
Asian,Male,Out of State Domestic,Clg of Environmental Design,4,1997-98,(Admitted)
Asian,Male,Out of State Domestic,Clg of Environmental Design,6,1998-99,(Admitted)
Asian,Male,Out of State Domestic,Clg of Environmental Design,5,1999-00,(Admitted)
Asian,Male,Out of State Domestic,Clg of Environmental Design,3,2000-01,(Admitted)
Asian,Male,Out of State Domestic,Clg of Environmental Design,3,2001-02,(Admitted)
Asian,Male,Out of State Domestic,Clg of Environmental Design,7,2002-03,(Admitted)
Asian,Male,Out of State Domestic,Clg of Environmental Design,4,2003-04,(Admitted)
Asian,Male,Out of State Domestic,Clg of Environmental Design,6,2004-05,(Admitted)
Asian,Male,Out of State Domestic,Clg of Environmental Design,7,2005-06,(Admitted)
Asian,Male,Out of State Domestic,Clg of Environmental Design,6,2006-07,(Admitted)
Asian,Male,Out of State Domestic,Clg of Environmental Design,6,2007-08,(Admitted)
Asian,Male,Out of State Domestic,Clg of Environmental Design,5,2008-09,(Admitted)
Asian,Male,Out of State Domestic,Clg of Environmental Design,3,2009-10,(Admitted)
Asian,Male,Out of State Domestic,Clg of Environmental Design,5,2010-11,(Admitted)
Asian,Male,Out of State Domestic,Clg of Environmental Design,1,2011-12,(Admitted)
Asian,Male,Out of State Domestic,Clg of Environmental Design,4,2012-13,(Admitted)
Asian,Male,Out of State Domestic,Clg of Environmental Design,3,2013-14,(Admitted)
Asian,Male,Out of State Domestic,Clg of Environmental Design,7,2014-15,(Admitted)
Asian,Male,Out of State Domestic,Clg of Environmental Design,13,2015-16,(Admitted)
Asian,Male,Out of State Domestic,Clg of Environmental Design,11,2016-17,(Admitted)
Asian,Male,Out of State Domestic,Clg of Environmental Design,0,2017-18,(Admitted)
Asian,Male,Out of State Domestic,Clg of Letters & Science,136,1996-97,(Admitted)
Asian,Male,Out of State Domestic,Clg of Letters & Science,156,1997-98,(Admitted)
Asian,Male,Out of State Domestic,Clg of Letters & Science,139,1998-99,(Admitted)
Asian,Male,Out of State Domestic,Clg of Letters & Science,158,1999-00,(Admitted)
Asian,Male,Out of State Domestic,Clg of Letters & Science,163,2000-01,(Admitted)
Asian,Male,Out of State Domestic,Clg of Letters & Science,130,2001-02,(Admitted)
Asian,Male,Out of State Domestic,Clg of Letters & Science,130,2002-03,(Admitted)
Asian,Male,Out of State Domestic,Clg of Letters & Science,117,2003-04,(Admitted)
Asian,Male,Out of State Domestic,Clg of Letters & Science,137,2004-05,(Admitted)
Asian,Male,Out of State Domestic,Clg of Letters & Science,142,2005-06,(Admitted)
Asian,Male,Out of State Domestic,Clg of Letters & Science,159,2006-07,(Admitted)
Asian,Male,Out of State Domestic,Clg of Letters & Science,142,2007-08,(Admitted)
Asian,Male,Out of State Domestic,Clg of Letters & Science,151,2008-09,(Admitted)
Asian,Male,Out of State Domestic,Clg of Letters & Science,121,2009-10,(Admitted)
Asian,Male,Out of State Domestic,Clg of Letters & Science,251,2010-11,(Admitted)
Asian,Male,Out of State Domestic,Clg of Letters & Science,415,2011-12,(Admitted)
Asian,Male,Out of State Domestic,Clg of Letters & Science,373,2012-13,(Admitted)
Asian,Male,Out of State Domestic,Clg of Letters & Science,413,2013-14,(Admitted)
Asian,Male,Out of State Domestic,Clg of Letters & Science,496,2014-15,(Admitted)
Asian,Male,Out of State Domestic,Clg of Letters & Science,506,2015-16,(Admitted)
Asian,Male,Out of State Domestic,Clg of Letters & Science,541,2016-17,(Admitted)
Asian,Male,Out of State Domestic,Clg of Letters & Science,0,2017-18,(Admitted)
Asian,Male,Out of State Domestic,Clg of Natural Resources,1,1996-97,(Admitted)
Asian,Male,Out of State Domestic,Clg of Natural Resources,2,1997-98,(Admitted)
Asian,Male,Out of State Domestic,Clg of Natural Resources,3,1998-99,(Admitted)
Asian,Male,Out of State Domestic,Clg of Natural Resources,4,1999-00,(Admitted)
Asian,Male,Out of State Domestic,Clg of Natural Resources,2,2000-01,(Admitted)
Asian,Male,Out of State Domestic,Clg of Natural Resources,,2001-02,(Admitted)
Asian,Male,Out of State Domestic,Clg of Natural Resources,3,2002-03,(Admitted)
Asian,Male,Out of State Domestic,Clg of Natural Resources,6,2003-04,(Admitted)
Asian,Male,Out of State Domestic,Clg of Natural Resources,3,2004-05,(Admitted)
Asian,Male,Out of State Domestic,Clg of Natural Resources,8,2005-06,(Admitted)
Asian,Male,Out of State Domestic,Clg of Natural Resources,12,2006-07,(Admitted)
Asian,Male,Out of State Domestic,Clg of Natural Resources,4,2007-08,(Admitted)
Asian,Male,Out of State Domestic,Clg of Natural Resources,15,2008-09,(Admitted)
Asian,Male,Out of State Domestic,Clg of Natural Resources,5,2009-10,(Admitted)
Asian,Male,Out of State Domestic,Clg of Natural Resources,20,2010-11,(Admitted)
Asian,Male,Out of State Domestic,Clg of Natural Resources,21,2011-12,(Admitted)
Asian,Male,Out of State Domestic,Clg of Natural Resources,23,2012-13,(Admitted)
Asian,Male,Out of State Domestic,Clg of Natural Resources,30,2013-14,(Admitted)
Asian,Male,Out of State Domestic,Clg of Natural Resources,17,2014-15,(Admitted)
Asian,Male,Out of State Domestic,Clg of Natural Resources,22,2015-16,(Admitted)
Asian,Male,Out of State Domestic,Clg of Natural Resources,28,2016-17,(Admitted)
Asian,Male,Out of State Domestic,Clg of Natural Resources,0,2017-18,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Chemistry,,2009-10,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Chemistry,,2012-13,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Chemistry,,2013-14,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Chemistry,,2014-15,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Chemistry,,2015-16,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Chemistry,0,2016-17,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Chemistry,0,2017-18,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Engineering,,2003-04,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Engineering,,2005-06,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Engineering,,2011-12,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Engineering,,2012-13,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Engineering,,2013-14,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Engineering,,2014-15,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Engineering,,2015-16,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Engineering,2,2016-17,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Engineering,0,2017-18,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Environmental Design,,2002-03,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Environmental Design,,2009-10,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Environmental Design,1,2012-13,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Environmental Design,,2013-14,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Environmental Design,,2014-15,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Environmental Design,,2015-16,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Environmental Design,0,2017-18,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Letters & Science,1,1998-99,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Letters & Science,1,1999-00,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Letters & Science,,2000-01,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Letters & Science,1,2002-03,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Letters & Science,1,2003-04,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Letters & Science,,2004-05,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Letters & Science,,2005-06,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Letters & Science,,2006-07,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Letters & Science,,2008-09,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Letters & Science,,2009-10,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Letters & Science,,2010-11,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Letters & Science,1,2011-12,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Letters & Science,1,2012-13,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Letters & Science,1,2013-14,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Letters & Science,3,2014-15,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Letters & Science,1,2015-16,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Letters & Science,6,2016-17,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Letters & Science,0,2017-18,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Natural Resources,,2009-10,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Natural Resources,,2011-12,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Natural Resources,1,2012-13,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Natural Resources,1,2013-14,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Natural Resources,,2014-15,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Natural Resources,,2015-16,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Natural Resources,0,2016-17,(Admitted)
Chicano/Latino,Decline to State,CA Resident,Clg of Natural Resources,0,2017-18,(Admitted)
Chicano/Latino,Decline to State,Out of State Domestic,Clg of Chemistry,0,2016-17,(Admitted)
Chicano/Latino,Decline to State,Out of State Domestic,Clg of Engineering,1,2013-14,(Admitted)
Chicano/Latino,Decline to State,Out of State Domestic,Clg of Engineering,,2014-15,(Admitted)
Chicano/Latino,Decline to State,Out of State Domestic,Clg of Engineering,,2015-16,(Admitted)
Chicano/Latino,Decline to State,Out of State Domestic,Clg of Engineering,0,2016-17,(Admitted)
Chicano/Latino,Decline to State,Out of State Domestic,Clg of Engineering,0,2017-18,(Admitted)
Chicano/Latino,Decline to State,Out of State Domestic,Clg of Environmental Design,0,2016-17,(Admitted)
Chicano/Latino,Decline to State,Out of State Domestic,Clg of Letters & Science,,1998-99,(Admitted)
Chicano/Latino,Decline to State,Out of State Domestic,Clg of Letters & Science,,2002-03,(Admitted)
Chicano/Latino,Decline to State,Out of State Domestic,Clg of Letters & Science,,2010-11,(Admitted)
